year,sightings_per_year,stress_event_count,severity_sum,severity_sum_lag1,stress_event_count_lag1,stress_group,media_event
1947,35,1,2,0.0,0.0,Low Stress,0
1948,7,0,0,2.0,1.0,Low Stress,0
1949,16,0,0,0.0,0.0,Low Stress,0
1950,27,1,4,0.0,0.0,High Stress,0
1951,20,0,0,4.0,1.0,Low Stress,1
1952,45,0,0,0.0,0.0,Low Stress,0
1953,31,0,0,0.0,0.0,Low Stress,1
1954,51,0,0,0.0,0.0,Low Stress,0
1955,31,0,0,0.0,0.0,Low Stress,0
1956,41,0,0,0.0,0.0,Low Stress,0
1957,69,1,3,0.0,0.0,High Stress,0
1958,44,0,0,3.0,1.0,Low Stress,0
1959,49,0,0,0.0,0.0,Low Stress,0
1960,63,0,0,0.0,0.0,Low Stress,0
1961,48,0,0,0.0,0.0,Low Stress,0
1962,71,1,5,0.0,0.0,High Stress,0
1963,82,0,0,5.0,1.0,Low Stress,0
1964,88,0,0,0.0,0.0,Low Stress,0
1965,184,1,4,0.0,0.0,High Stress,0
1966,185,0,0,4.0,1.0,Low Stress,0
1967,184,0,0,0.0,0.0,Low Stress,0
1968,214,0,0,0.0,0.0,Low Stress,1
1969,155,1,3,0.0,0.0,High Stress,0
1970,144,0,0,3.0,1.0,Low Stress,0
1971,128,0,0,0.0,0.0,Low Stress,0
1972,155,0,0,0.0,0.0,Low Stress,0
1973,222,1,4,0.0,0.0,High Stress,0
1974,268,0,0,4.0,1.0,Low Stress,0
1975,311,0,0,0.0,0.0,Low Stress,0
1976,273,0,0,0.0,0.0,Low Stress,0
1977,264,1,1,0.0,0.0,Low Stress,1
1978,330,0,0,1.0,1.0,Low Stress,0
1979,244,0,0,0.0,0.0,Low Stress,1
1980,238,0,0,0.0,0.0,Low Stress,0
1981,163,0,0,0.0,0.0,Low Stress,0
1982,180,1,2,0.0,0.0,Low Stress,1
1983,148,0,0,2.0,1.0,Low Stress,0
1984,184,0,0,0.0,0.0,Low Stress,1
1985,215,0,0,0.0,0.0,Low Stress,0
1986,188,1,4,0.0,0.0,High Stress,1
1987,223,0,0,4.0,1.0,Low Stress,1
1988,239,0,0,0.0,0.0,Low Stress,0
1989,243,1,3,0.0,0.0,High Stress,1
1990,257,0,0,3.0,1.0,Low Stress,1
1991,234,1,4,0.0,0.0,High Stress,0
1992,246,0,0,4.0,1.0,Low Stress,1
1993,300,2,4,0.0,0.0,High Stress,1
1994,417,0,0,4.0,2.0,Low Stress,0
1995,1066,1,3,0.0,0.0,High Stress,0
1996,822,1,1,3.0,1.0,Low Stress,1
1997,1242,1,2,1.0,1.0,Low Stress,1
1998,1739,0,0,2.0,1.0,Low Stress,0
1999,2788,1,3,0.0,0.0,High Stress,1
2000,2751,0,0,3.0,1.0,Low Stress,0
2001,3108,1,5,0.0,0.0,High Stress,1
2002,3210,0,0,5.0,1.0,Low Stress,1
2003,3935,1,4,0.0,0.0,High Stress,0
2004,4218,1,4,4.0,1.0,High Stress,0
2005,4038,0,0,4.0,1.0,Low Stress,1
2006,3680,0,0,0.0,0.0,Low Stress,0
2007,4243,0,0,0.0,0.0,Low Stress,0
2008,4777,1,5,0.0,0.0,High Stress,0
2009,4508,0,0,5.0,1.0,Low Stress,1
2010,4258,1,3,0.0,0.0,High Stress,0
2011,5076,2,8,3.0,1.0,High Stress,1
2012,7308,1,2,8.0,2.0,Low Stress,1
2013,6988,0,0,2.0,1.0,Low Stress,0
